,brands,influencers
2042,30105188,3113586
2055,50640140,17819247
2057,22408233,71636419
2058,24433842,24668511
2061,82341247,3141662
2064,26662425,8081413
2067,8513486,88750886
2081,24433842,83429676
2099,22408233,67873135
2106,16875222,76542998
2117,10213233,8946587
2123,29446955,73767248
2131,14700197,3113586
2132,9511412,10550734
2156,72973314,73271141
2159,34674639,14024901
2161,70176672,72113330
2162,32950893,54139417
2166,70176672,61968645
2167,22408233,56173813
2175,13517517,40831635
2178,50013216,75098297
2184,44926421,8043815
2185,27459667,37285855
2193,88617721,55470645
2220,48408477,49986487
2225,1926627,36309182
2227,13517517,40831635
2236,20750057,44178215
2241,39853017,51339010
2249,69280657,27846606
2250,10213233,8946587
2258,62695602,80221000
2259,63221344,46469137
2262,1926627,36309182
2290,22408233,83671499
2306,98872548,36651151
2315,67468389,29978906
2324,32746775,15431549
2334,24433842,56749580
2336,95648291,93333218
2351,69280657,94245967
2362,22408233,86157033
2373,22408233,63571140
2375,22408233,22035719
2378,24433842,83377510
2379,62998515,41484157
2380,17914007,73470486
2383,94405591,1556841
2390,73922954,58694073
2396,15380822,32030862
2400,12764426,90215760
2403,73207735,45216301
2404,35231708,96798142
2410,49140968,64464718
2423,48408477,24929093
2426,45724153,91442049
2442,2951303,87130689
2453,29446955,32532388
2458,17914007,73470486
2460,49140968,8123471
2489,12764426,90215760
2493,44926421,1590228
2497,82341247,11737412
2499,62643916,48804786
2501,22408233,46945016
2503,56339433,33425839
2506,62998515,84940423
2514,24677500,36267222
2518,57379093,57714515
2519,58995451,73543713
2520,42132524,55580095
2528,42132524,33736661
2530,52559843,87838985
2535,22408233,63571140
2542,26662425,8081413
2546,87719521,95839053
2548,48567010,94070828
2549,67468389,9578576
2554,49675993,12780073
2559,42132524,55580095
2562,56339433,86811568
2567,15380822,13135807
2570,88252356,90186701
2582,45635303,9618454
2583,78890875,7931902
2585,69280657,27965188
2607,22408233,32265426
2610,98492409,62799185
2616,52559843,87838985
2624,57379093,98378426
2625,41100928,74025600
2630,94176401,89296040
2631,29446955,40543059
2633,32746775,82224918
2634,32746775,51016002
2636,73518347,3945291
2642,12177576,3687794
2656,32174996,62177174
2661,88617721,81848528
2672,62643916,34851040
2682,2264368,37990438
2683,24542817,31284830
2684,44682827,10704944
2689,48895863,4801250
2693,34674639,14212827
2697,72973314,19168555
2698,22408233,56173813
2707,72973314,91368725
2713,93347975,94628613
2715,22408233,48369882
2716,88271217,69764085
2717,22408233,80010827
2735,37374702,68725884
2736,40834452,75742869
2742,95648291,33021081
2744,32950893,34166118
2746,41100928,51373757
2750,52559843,28866677
2755,58507941,35666742
2757,44682827,98146648
2763,52559843,96798142
2765,66232356,28245740
2767,22408233,86343703
2768,48408477,30608672
2775,23124854,64358018
2779,93272251,21126486
2782,90098553,79209731
2792,45724153,91442049
2794,58507941,29273433
2803,33874045,79553859
2805,49140968,34197122
2807,52559843,8761641
2822,50013216,87993563
2823,49675993,87399761
2829,73922954,99622718
2833,33874045,76682067
2834,22408233,98437100
2844,48408477,85481989
2867,59476252,95418913
2870,24433842,37126523
2871,69280657,62492575
2879,87366910,84940423
2881,52559843,36948890
2884,93272251,43715257
2885,24433842,87345645
2902,52559843,96798142
2911,50013216,87993563
2914,73922954,63297331
2915,34674639,42212990
2916,22408233,12642624
2927,8616199,95702425
2930,50013216,11997104
2931,48408477,49134130
2938,44926421,47224725
2940,90733089,15047085
2941,24433842,18152082
2953,30105188,56356030
2955,97522225,71087834
2975,42132524,33736661
2982,24688426,41307317
2989,88617721,81848528
3003,84807797,57317130
3004,13517517,40831635
3005,23124854,58632406
3019,98872548,36651151
3023,44926421,36824904
3036,22408233,82906495
3043,37374702,27292029
3047,24433842,96040139
3050,33121375,25939621
3057,25701775,2882854
3067,62998515,72634243
3070,48567010,58266944
3086,22408233,31933003
3091,13517517,43747648
3101,19318655,49868532
3119,72973314,96262676
3121,95648291,93333218
3126,50640140,22197416
3143,50013216,27387712
3152,98263717,95893978
3169,72973314,13878200
3177,24399576,26818175
3178,95648291,2245068
3184,48408477,35986410
3187,6931302,14708685
3192,40834452,58330383
3193,88617721,52633613
3194,62219884,56697384
3199,33874045,230041
3204,87719521,26775377
3205,28534207,15329570
3208,1237531,94455999
3209,33121375,64148270
3216,32746775,38396936
3223,42132524,1438030
3226,98263717,39037499
3227,54563128,61581019
3230,6931302,14708685
3231,95678838,92862304
3236,95648291,33021081
3244,48507733,59165159
3251,97522225,88847469
3252,98492409,71689489
3261,42132524,55580095
3262,87719521,10739450
3263,3212843,58876851
3266,37280192,66091147
3270,52559843,90186701
3277,30105188,32345025
3280,28534207,86379879
3287,6931302,14708685
3292,40834452,58690741
3303,32746775,51016002
3310,42132524,1438030
3321,88252356,90186701
3327,1237531,83564815
3330,48240598,43092618
3371,34674639,76726886
3372,8616199,65152903
3379,32746775,84310622
3390,83914932,29748845
3393,26239627,90730199
3397,41100928,36743912
3401,22408233,53970711
3402,78890875,7931902
3403,34674639,88941784
3404,42132524,55580095
3417,50013216,70497587
3425,28534207,7130380
3429,97522225,65861096
3430,8513486,93282617
3431,28534207,99056199
3435,33874045,46820537
3442,44926421,27082970
3444,28534207,23002514
3450,95678838,92862304
3452,52800402,22492768
3454,12764426,73154659
3465,97522225,71087834
3467,58995451,67562428
3475,44926421,1461648
3483,50013216,37413633
3499,48567010,3981310
3504,44926421,8975030
3508,22408233,3406803
3512,2951303,36007113
3520,12764426,79598499
3526,56921706,13626691
3533,24688426,26410850
3536,2413297,2529001
3538,52559843,51568620
3542,4531742,97197148
3555,93272251,77851610
3556,22408233,2953182
3558,2951303,80371125
3567,10213233,8946587
3570,32746775,15431549
3578,91239394,93124829
3579,45724153,11848161
3588,50013216,25979917
3590,22408233,53940926
3591,54563128,93857407
3594,41100928,7711214
3604,14700197,48317890
3612,49530691,31326132
3616,914453,54543229
3632,22408233,58880155
3634,12524510,8301582
3640,32746775,24657284
3642,52800402,236143
3645,54563128,51111268
3646,88271217,69764085
3674,55053820,79209731
3675,8616199,96697306
3683,69280657,62177174
3688,59286932,68592318
3691,85627400,49089676
3695,52559843,93209033
3696,8616199,43743886
3706,33121375,11617261
3707,50013216,25979917
3710,98263717,92723355
3716,42132524,33736661
3726,48408477,98160134
3729,67468389,9578576
3734,83914932,62827678
3737,22408233,20692641
3738,88617721,39258532
3767,34674639,9812188
3771,22408233,22470816
3788,22408233,20909394
3796,32746775,40222688
3809,54563128,92449267
3810,58895811,90215760
3816,2413297,55543968
3822,22408233,22470816
3826,83914932,25436582
3836,52559843,91230175
3839,22408233,22470816
3842,34674639,65839229
3843,98263717,4223198
3845,44926421,85587870
3846,33121375,94742685
3849,3334970,87136491
3860,90098553,77615382
3865,2413297,73311217
3867,914453,85719011
3872,22408233,13328679
3875,37374702,86880800
3877,26239627,26968803
3884,48408477,58053881
3893,22408233,76890331
3894,47566453,93122651
3900,55053820,27771863
3907,15380822,9464694
3913,22408233,38330989
3921,42132524,77851610
3924,15380822,46679418
3936,62643916,57497912
3942,34674639,65839229
3944,60988315,27806311
3947,34674639,70377464
3958,42132524,33736661
3963,97522225,51031668
3964,22408233,69039017
3970,48339864,39672297
3981,26662425,44811307
3983,32950893,64621444
3992,52800402,15628688
3996,90098553,13855822
4009,22408233,33534794
4018,11063411,57469223
4023,72973314,83525708
4026,90733089,88015966
4030,914453,72474919
4043,54177280,42968597
4050,60988315,40458347
4066,28534207,86379879
4074,48567010,86292160
4081,90098553,58019985
4094,48240598,45438052
4102,72973314,37930340
4107,5714079,7508103
4112,93347975,94628613
4114,62643916,21548931
4115,62998515,47323194
4151,98263717,48340083
4158,12524510,23291340
4161,22408233,22470816
4173,50013216,62482428
4180,13517517,61428514
4193,4165706,93061405
4195,55053820,8941529
4201,42601852,21536592
4209,56921706,84380629
4212,91239394,5070931
4217,25701775,97433044
4221,54563128,93701236
4230,88271217,69764085
4247,62219884,92227227
4251,30105188,25965595
4252,42132524,33736661
4257,62643916,94765291
4258,48895863,21243568
4268,39872879,73171540
4276,87366910,58694073
4277,22408233,43397212
4289,2413297,55543968
4319,42132524,33736661
4323,22408233,73853302
4327,66115710,70298119
4332,58507941,92335577
4336,93000682,36615975
4337,4531742,38234683
4341,41100928,79220935
4372,96427780,99347350
4374,24677500,36267222
4378,12764426,73154659
4382,45724153,63077337
4384,56921706,37446651
4394,30105188,25979917
4412,22408233,43397212
4415,32746775,35820509
4419,69280657,53515154
4424,32396803,8414915
4434,44551665,31781078
4441,42099907,45896593
4449,22408233,11184907
4469,34674639,68521221
4500,62643916,61614525
4502,91536435,67800377
4510,44926421,94355498
4520,73922954,40661245
4530,72973314,81906449
4534,22408233,43397212
4562,4531742,10572474
4565,52204281,7059012
4576,24542817,31284830
4590,58895811,66568985
4595,914453,51396667
4603,22408233,37067185
4604,32746775,82224918
4605,50013216,96984633
4619,34674639,76682067
4636,22408233,37949834
4642,22408233,57394912
4645,33121375,6331291
4657,33121375,90085346
4662,62643916,74000123
4663,22408233,68832169
4665,42099907,99056198
4684,56339433,80058335
4690,37374702,43161387
4695,58507941,42567587
4696,22408233,49772950
4709,12524510,99233153
4715,42132524,1438030
4718,69280657,26065510
4726,98263717,99164717
4729,8616199,15658574
4735,90733089,19785858
4764,60988315,78340061
4782,56921706,23304063
4789,87366910,63158326
4795,40834452,58690741
4812,42099907,1584881
4816,42099907,99056198
4822,22408233,60177134
4831,22408233,31248102
4835,97522225,65861096
4839,34674639,71171085
4842,95648291,85634093
4843,3212843,90186701
4848,17115627,66547007
4850,22408233,38621909
4857,60198616,69248068
4858,48567010,45575101
4862,62695602,9411390
4865,32746775,38396936
4869,4165706,93061405
4870,22408233,17834019
4877,39848725,56351741
4882,22408233,19843116
4888,91147278,80001872
4889,67468389,9578576
4890,22408233,2900788
4893,56921706,75271199
4911,24542817,21664959
4915,47697030,69436931
4924,48507733,7101976
4929,36383192,99382346
4939,81205895,64010023
4951,87366910,76092420
4952,66115710,8579067
4953,22408233,29800898
4960,95648291,26961226
4970,37374702,83828952
4979,90733089,88015966
4982,87366910,41391377
4985,60988315,33593950
4991,22408233,94070828
4992,12177576,33724832
5023,2951303,80371125
5052,34674639,73600147
5071,22408233,48867240
5090,84921219,90186701
5091,22408233,19909490
5102,42601852,41531408
5103,84921219,90186701
5137,84777830,92446617
5139,32950893,61167443
5140,22408233,18442358
5149,62695602,9411390
5159,1117643,91465706
5172,12524510,65422564
5182,54563128,72276020
5183,52559843,26345457
5210,44926421,34704537
5217,54563128,23860679
5226,22408233,17834019
5242,42601852,73469246
5247,91536435,45041149
5249,44926421,13648173
5250,5307096,88531471
5254,22408233,85695556
5264,22408233,93251296
5266,22408233,41458419
5270,56921706,83429676
5301,55472882,95348992
5306,88617721,3945291
5309,24542817,34701640
5314,97522225,69077247
5317,5307096,81884088
5328,62998515,79131924
5332,5307096,8351292
5335,90733089,9954114
5366,87366910,51848377
5378,29446955,84524981
5397,22408233,8177883
5409,24542817,20795614
5421,52800402,71753315
5435,42099907,22267945
5439,83914932,89642250
5444,69280657,46994397
5481,24688426,84942311
5482,22408233,10725301
5486,93000682,73391220
5490,5996139,29615162
5495,68972607,57614080
5502,68972607,35478002
5507,22408233,69601178
5509,44926421,99472190
5511,25701775,33348419
5533,59476252,95306452
5536,68972607,55235771
5548,52559843,91230175
5564,56339433,17665158
5581,79862239,5730685
5599,62998515,35186649
5606,61871471,71562334
5628,94405591,1556841
5644,99623391,43653503
5662,68972607,57614080
5670,22408233,15330082
5674,13517517,40831635
5680,72973314,49386601
5697,48408477,39073073
5708,94405591,1556841
5714,34674639,61180875
5734,48507733,96750355
5736,22408233,39466243
5740,15380822,39873995
5743,2951303,36007113
5744,56921706,57772854
5747,22408233,90767684
5776,44926421,18790929
5783,49140968,24126235
5787,48507733,11181119
5790,33121375,7931902
5808,81166249,73911963
5830,60988315,78688301
5837,2951303,67373049
5849,33121375,63852817
5854,54563128,67935531
5861,37374702,15443372
5872,28534207,86379879
5878,56921706,53309031
5886,91239394,34469205
5891,15380822,39873995
5892,32746775,51998643
5899,60988315,80199117
5936,83914932,18912578
5941,60988315,89938133
5951,44682827,94772232
5954,22408233,21134704
5959,43071243,39970524
5963,95648291,26961226
5977,50640140,69474924
5988,62998515,41587565
6014,62643916,93590501
6031,4165706,84370592
6057,34674639,57134736
6058,6931302,14708685
6062,22408233,21574445
6066,44682827,20937253
6069,44926421,39232537
6074,73922954,63297331
6077,15380822,85178281
6078,37374702,37497918
6086,34674639,40662171
6087,68972607,67932273
6094,68972607,11472209
6106,15380822,78846934
6115,84777830,88797571
6131,39853017,38806816
6132,22408233,41531408
6133,44926421,59084784
6135,48895863,71682307
6136,52559843,51568620
6138,25701775,50015310
6140,5307096,57028576
6141,68972607,97647577
6147,42601852,21536592
6150,72973314,81906449
6162,70176672,15877797
6164,42601852,93594623
6174,32396803,82906495
6178,45724153,63077337
6180,84807797,52242273
6189,84807797,52242273
6202,68972607,84334062
6205,22408233,6180861
6211,49140968,24126235
6217,73922954,87345645
6224,87366910,25757367
6225,68972607,42505631
6232,68972607,52211982
6253,22408233,50762953
6255,83914932,18912578
6257,72973314,37930340
6258,34674639,97919190
6259,47566453,73543713
6266,12524510,66772752
6277,22408233,1955172
6279,50640140,50482078
6283,23124854,863084
6314,4165706,84370592
6315,16306258,55051290
6317,97522225,98656060
6348,98872548,76984046
6349,61570209,98099852
6350,61570209,98099852
6355,68972607,16092649
6362,42601852,91459500
6376,44926421,92021724
6390,97522225,31736971
6394,50640140,62729367
6395,95648291,26961226
6406,95648291,65581613
6423,98263717,58653494
6431,32396803,82906495
6435,8616199,66255412
6440,914453,4242967
6444,22408233,51339010
6446,61570209,98099852
6453,52800402,17238273
6454,5307096,57028576
6456,60988315,69232380
6464,37374702,52235868
6465,29446955,88500762
6476,81205895,94049732
6480,20447953,72337900
6483,50640140,50482078
6490,59286932,57386163
6495,48240598,71633091
6499,22408233,79439679
6505,73419393,73642595
6509,79953595,19819308
6537,1162279,34853461
6547,98263717,2790328
6548,81205895,7911116
6555,22408233,37949834
6559,20447953,73971162
6578,97044323,92933126
6592,67468389,9578576
6597,61871471,85830820
6618,34674639,92229618
6626,5307096,90009048
6627,12524510,66772752
6645,86542224,13691005
6653,61871471,85830820
6656,29446955,93316209
6668,50013216,25979917
6670,56339433,77673665
6675,15380822,19415818
6690,55053820,65797962
6716,60988315,57614080
6727,1162279,98784185
6733,12524510,66772752
6748,34674639,9812188
6759,72973314,37930340
6783,72973314,81906449
6792,50013216,43926415
6802,50640140,30780494
6803,83914932,91910412
6841,29446955,75300092
6846,8616199,26028
6850,15380822,1890600
6904,45724153,11848161
6933,22408233,27457347
6945,22408233,4486625
6948,33874045,56201003
6977,24433842,27033083
6979,15145106,20640433
6984,1162279,81881300
6986,45724153,26532539
7005,78890875,21100891
7006,52800402,9162134
7008,56921706,12105973
7034,29446955,14939666
7042,98263717,37974522
7053,61871471,49947157
7062,34674639,92229618
7063,62998515,82222309
7081,1162279,28422940
7093,60988315,57102686
7100,50176623,38241185
7101,10977987,54272776
7107,15380822,48145833
7120,44926421,67700679
7140,33874045,59987678
7150,47697030,46494916
7155,62998515,53911077
7159,44926421,58542360
7162,38427034,29197720
7179,15145106,13450420
7187,48408477,77802622
7192,22408233,34519428
7212,15145106,5973195
7214,72973314,18993826
7228,22408233,80226103
7230,50013216,70497587
7244,81205895,7911116
7253,62695602,92335577
7256,44551665,96827806
7259,84921219,75084516
7280,87366910,13526707
7285,52559843,43687645
7291,44926421,3113586
7304,99623391,3141662
7313,73922954,87363015
7318,24433842,9839803
7320,24433842,29422646
7325,12524510,66772752
7352,50013216,39846177
7359,2413297,14437948
7378,34674639,65839229
7381,52559843,90186701
7393,52559843,39620221
7403,86542224,23875255
7409,24433842,11575080
7471,8616199,42018427
7475,34674639,1403396
7497,1162279,99957671
7539,66115710,8579067
7541,32746775,41064515
7575,72973314,39149841
7585,24433842,53754329
7593,62643916,41986160
7596,40834452,58690741
7646,4165706,84370592
7657,44926421,47493023
7713,22408233,68268950
7725,22408233,4991535
7752,32950893,9559449
7779,8616199,32106933
7782,72973314,59998968
7787,30105188,19196665
7789,99623391,43653503
7793,15380822,39873995
7801,52800402,83479221
7805,72973314,58396380
7810,22408233,41515697
7824,22408233,42158602
7832,73922954,19910740
7865,24433842,61839442
7879,33121375,65372986
7920,16875222,77976575
7934,34674639,65746766
7950,11498860,78625208
7953,87719521,10255610
7960,28375463,78071591
7962,22408233,4991535
7978,2413297,2529001
7995,86542224,52400756
7999,25701775,73935227
8005,50013216,58542360
8011,24433842,70727733
8014,24433842,55055023
8024,42099907,18993826
8036,37280192,67561678
8041,23848529,73931140
8049,81205895,58632167
8058,6931302,14708685
8064,33773531,55033543
8086,43769951,92229164
8087,22408233,11915733
8106,12764426,46216533
8126,83914932,56080676
8135,87719521,43528412
8174,81205895,7911116
8192,22408233,10725301
8193,22408233,27566161
8194,33121375,99369594
8206,72973314,97523468
8216,91760325,87532151
8226,84921219,45469815
8230,5714079,96190827
8231,9537346,11118392
8241,22408233,19571524
8263,94405591,13128443
8269,88617721,3945291
8276,87719521,9872965
8283,79862239,2092913
8298,91147278,60402313
8314,12524510,79217142
8316,50013216,82887915
8319,83914932,65028607
8337,32746775,84310622
8339,44551665,64068179
8343,73419393,25302757
8353,45724153,59632150
8357,95678838,72880369
8366,22408233,80226103
8377,29446955,21298761
8383,53295196,53953185
8385,25701775,34302382
8387,86542224,74001972
8405,37374702,24055042
8416,15380822,80441854
8423,81205895,54161407
8440,32746775,97766095
8443,22408233,6880535
8503,97044323,56885991
8506,37374702,24055042
8515,86542224,99164717
8519,69280657,70704642
8529,20750057,63692990
8534,16875222,77976575
8540,32174996,55721841
8541,8616199,65152903
8547,84807797,91758730
8554,49140968,64464718
8569,81205895,85897347
8572,83914932,62827678
8575,41100928,88417007
8576,24433842,58019985
8582,37374702,24055042
8587,41478804,97760841
8589,92662540,44359683
8598,24433842,4865869
8599,50640140,69474924
8621,22408233,38437734
8623,82341247,32326158
8631,47697030,79601107
8667,42099907,12961011
8676,52800402,73716194
8690,24433842,79262753
8691,24688426,8126589
8703,27459667,37285855
8720,62695602,79432729
8725,52800402,18016830
