,brands,influencers
9941,59476252,69615167
9962,83914932,56080676
9964,38427034,7304526
9965,91239394,24957382
9977,26662425,70531025
9980,39516156,94743945
10005,22408233,38516747
10011,28375463,94611470
10017,22408233,35970606
10023,45635303,91459500
10063,22408233,86092044
10074,79953595,68960086
10080,1162279,46494916
10081,50013216,92003439
10086,30105188,95803077
10091,54563128,96797958
10093,54563128,35472252
10099,68972607,96231788
10106,54563128,13659646
10120,9537346,97243357
10137,68972607,24367836
10159,22408233,22035719
10181,1162279,92822606
10184,67468389,35148683
10201,44926421,689642
10225,93272251,99720329
10227,9537346,11118392
10229,60988315,22170010
10239,38427034,15652600
10241,8616199,85774043
10249,84777830,88797571
10251,47697030,44694307
10259,24677500,89077224
10263,22408233,14378912
10268,12524510,81595078
10270,56339433,45463487
10285,62695602,56685731
10300,87366910,51871806
10301,914453,20795614
10302,29771976,21768549
10305,91239394,65863435
10313,52559843,51568620
10323,22408233,32703672
10325,12177576,12229577
10335,22408233,18221327
10345,44551665,28476661
10351,60198616,7304526
10358,44551665,45724306
10377,48408477,18279064
10379,73922954,47391558
10382,15380822,19415818
10389,68972607,24367836
10394,83914932,73931140
10412,44551665,92080222
10440,62695602,35150960
10444,62643916,41191931
10463,22408233,45770966
10468,44926421,3003879
10471,24677500,91305849
10473,38427034,59676583
10478,22408233,93499857
10481,62998515,38621909
10493,15380822,19415818
10512,53942385,6230669
10518,50013216,30197373
10522,86542224,15443372
10544,35231708,12622130
10548,15380822,64673709
10550,69280657,43223109
10553,22408233,56966386
10555,23848529,73931140
10589,10977987,54272776
10590,83914932,72077709
10593,97522225,39294260
10600,52800402,48563929
10602,62643916,21548931
10620,24433842,79492185
10629,57190704,19439553
10635,87366910,24415091
10645,5307096,77769555
10647,93000682,73391220
